PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
e6f2ccc2,Jabir Abdihakim,Jabir Abdihakim,dj DJI,MF,VPS,27-053,1999,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
af068d41,Adeleke Akinyemi,Adeleke Akinyemi,ng NGA,FW,IF Gnistan,27-215,1998,2,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.79,2.37,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
401b50bd,Erik Andersson,Erik Andersson,se SWE,MF,Lahti,28-346,1997,2,2,154,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,2,50.0,1.17,2.34,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
5737e90d,Leo Andersson,Leo Andersson,fi FIN,FW,IFK Mariehamn,21-307,2004,2,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
1230f564,Clinton Antwi,Clinton Antwi,gh GHA,DF,KuPS,26-159,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,5,0,0.0,0.00,2.50,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
4719042b,Caio Araújo,Caio Araújo,br BRA,MF,SJK,20-309,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
5ec20548,Edmund Arko-Mensah,Edmund Arko-Mensah,gh GHA,DF,IF Gnistan,24-217,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.50,1.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
29c50f71,Markus Arsalo,Markus Arsalo,fi FIN,MF,SJK,23-175,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.50,2.50,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
a274f88d,Artur Atarah,Artur Atarah,fi FIN,FW,IF Gnistan,21-067,2005,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
c6a2d9ec,Goudousse Bamba,Goudousse Bamba,ci CIV,DF,Ilves,20-189,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
72a9964d,Stanislav Baranov,Stanislav Baranov,fi FIN,FW,Ilves,20-364,2005,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
d8c1ecca,Neemias Barbosa,Neemias Barbosa,br BRA,FW,Lahti,26-060,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,2,50.0,1.00,2.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
9e95ea7a,Aron Bjonbäck,Aron Bjonbäck,fi FIN,"MF,DF",FF Jaro,23-361,2002,2,2,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
e6fb6e95,Max Bjurstrøm,Max Bjurstrøm,no NOR,DF,IF Gnistan,20-078,2006,2,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
cf21165c,Mihailo Bogicevic,Mihailo Bogicevic,ch SUI,DF,HJK Helsinki,27-319,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,1.00,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
536f13a8,Mads Borchers,Mads Borchers,dk DEN,"MF,FW",HJK Helsinki,23-300,2002,2,2,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,2,50.0,1.22,2.45,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
d690144e,Aapo Boström,Aapo Boström,fi FIN,MF,SJK,20-025,2006,2,2,163,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.55,,,,,,,,,,,,,,,,,,,Veikkausliiga,2026
