PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
64d96400,Enderson Abreu,Enderson Abreu,ve VEN,"MF,FW",Trujillanos,25-194,2000,10,10,868,9.6,2,,,2,0,0,3,0,0.21,,,0.21,,Matches,0.20,0.29,10,7,70.0,0.73,1.04,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
f567c398,Héctor Acosta,Héctor Acosta,ve VEN,DF,Estudiantes Mérida,25-271,2000,10,10,892,9.9,0,,,0,0,0,4,0,0.00,,,0.00,,Matches,0.00,,3,0,0.0,0.00,0.30,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
8bef0b41,Rafael Acosta,Rafael Acosta,ve VEN,MF,Metropolitanos,37-060,1989,4,1,92,1.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,0.00,,1,0,0.0,0.00,0.98,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
cab3d28c,Moisés Acuña,Moisés Acuña,ve VEN,DF,Portuguesa,29-265,1996,5,4,328,3.6,1,,,1,0,0,0,0,0.27,,,0.27,,Matches,0.50,1.00,2,1,50.0,0.27,0.55,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
3f19c0eb,Ronald Acuña,Ronald Acuña,py PAR,FW,Zamora,32-324,1993,7,4,474,5.3,1,,,1,0,0,1,0,0.19,,,0.19,,Matches,0.10,0.20,10,5,50.0,0.95,1.90,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
8ab98f4f,Néstor Adrián Fernández,Néstor Adrián Fernández,py PAR,FW,Caracas,33-253,1992,8,6,537,6.0,2,,,1,1,2,2,0,0.34,,,0.17,,Matches,0.04,0.10,24,10,41.7,1.68,4.02,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
2b8c01c9,Josue Agüero,Josue Agüero,ve VEN,GK,Anzoátegui,25-047,2001,4,4,360,4.0,0,,,0,0,0,1,1,0.00,,,0.00,,Matches,,,0,0,,0.00,0.00,1,25.0,4,4,9,2.25,3,360,0,2,0,100.0,2,47.1,10,17,0,1,Venezuelan Primera División,2026
7655ae93,Elias Ajam,Elias Ajam,ve VEN,MF,Estudiantes Mérida,21-080,2005,3,0,20,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,0.00,,1,0,0.0,0.00,4.50,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
657f6d87,Ender Albarrán,Ender Albarrán,ve VEN,MF,Estudiantes Mérida,17-356,2008,3,0,47,0.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,0.00,,1,0,0.0,0.00,1.91,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
cb8b38e1,Junior Alberto Moreno,Junior Alberto Moreno,ve VEN,DF,Anzoátegui,26-042,2000,4,2,175,1.9,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Venezuelan Primera División,2026
